,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.6195,0.274
130,PE(P-40;6) ,0.3072,0.7697
131,PE 40;6,0.5876,0.3756
132,PG(36;1(OH)) _dup,0.4996,0.4653
133,PE(O-40;6) ,0.1887,0.91
134,PE O-41;11,0.4176,0.3344
135,PC 36;4_dup,0.8255,0.3153
136,PE(42;6) ,0.2354,0.8284
137,PS(38;0) ,0.7773,0.3766
138,PG(38;4) ,0.8121,0.2944
139,PC O-39;9,0.7175,0.2642
140,PC 36;3,0.4244,0.275
141,HexCer 40;1,0.7853,0.4657
142,PG(38;3) ,0.3749,0.331
143,PE(40;9) ,0.6485,0.4103
144,PE O-42;8,0.5122,0.2494
145,PG(38;2) ,0.474,0.2274
146,SM 40;1,0.7923,0.6744
147,PE(40;8) ,0.1459,0.9302
148,PC 36;1_dup,0.6599,0.275
149,PG(38;1) ,0.6466,0.2551
150,PE 40;7,0.6448,0.3106
151,PS 36;1,0.6325,0.5832
152,PC 38;6_dup,0.7341,0.2811
153,PE 40;6_dup,0.6392,0.4315
154,PC 38;5,0.658,0.3535
155,PG(36;1(OH)) _dup,0.6188,0.386
156,PC 38;4_dup,0.7263,0.2807
157,HexCer 42;2,0.7777,0.5218
158,PE(40;4) ,0.4758,0.265
159,Hex2Cer 32;1,0.4225,0.5945
160,PC 40;6,0.3734,0.45
161,SM 42;2_dup,0.5679,0.6341
162,HexCer 40;2;O3,0.7076,0.4314
163,PI-Cer(d38;0) ,0.7755,0.8147
164,HexCer(t40;0) ,0.7219,0.4227
165,HexCer(t40;0) _dup,0.7215,0.4372
166,SM(t40;1) ,0.5294,0.4458
167,PC 38;6_dup,0.7799,0.3266
168,PG(40;6) ,0.7646,0.2992
169,PC(38;5) ,0.6289,0.3659
170,PC(38;5) _dup,0.7723,0.3077
171,PS(40;1) ,0.7218,0.3764
172,PG(40;5) ,0.7403,0.2825
173,PC 38;4,0.7808,0.3039
174,HexCer 42;2_dup,0.7932,0.8934
175,HexCer(t42;2) ,0.7164,0.398
176,PG(40;4) ,0.7666,0.2882
177,PS 38;4,0.5576,0.6354
178,PC 38;3,0.6718,0.2686
179,HexCer 42;1,0.7217,0.3778
180,HexCer 42;1_dup,0.7848,0.6426
181,PA(48;11) ,0.376,0.6436
182,SM 42;2_dup,0.6236,0.4938
183,PC 38;2,0.6955,0.3472
184,PE(40;2(OH)) ,0.4241,0.5814
185,PC 38;1,0.7694,0.3446
186,PG(40;1) ,0.7318,0.3964
187,PC 40;6_dup,0.568,0.3211
188,HexCer 42;2;O3,0.7533,0.6695
189,HexCer 42;1;O3,0.7557,0.8316
190,PGP(34;1) ,0.3864,0.6125
191,HexCer(t42;0) ,0.7064,0.4057
192,SM(t42;1) ,0.3926,0.5521
193,PC(40;7) ,0.6258,0.2999
194,PC 40;6_dup,0.6532,0.3554
195,PG(42;6) ,0.6294,0.3269
196,Hex2Cer 32;0,0.45,0.5621
197,SHexCer 38;1;3,0.4261,0.4245
198,PE(44;11(OH)) ,0.0943,0.934
199,PC(40;4) ,0.5286,0.2989
200,PS(40;4) ,0.1349,0.9415
201,PIP(O-36;5) ,0.1974,0.8597
